# Wavelength_[A] Transmission
7843.100 0.95
7846.400 0.95
7849.600 0.95
7852.800 0.95
7856.000 0.94
7859.200 0.94
7862.400 0.94
7865.600 0.94
7868.800 0.94
7871.900 0.94
7875.100 0.94
7878.300 0.94
7881.500 0.94
7884.700 0.94
7887.900 0.94
7891.100 0.94
7894.300 0.94
7897.500 0.94
7900.700 0.94
7903.900 0.94
7907.100 0.94
7910.300 0.94
7913.500 0.95
7916.700 0.95
7919.900 0.95
7923.100 0.95
7926.300 0.95
7929.400 0.94
7932.600 0.94
7935.800 0.95
7939.000 0.95
7942.200 0.95
7945.400 0.95
7948.600 0.95
7951.800 0.95
7955.000 0.95
7958.100 0.95
7961.300 0.95
7964.500 0.95
7967.700 0.95
7970.900 0.95
7974.100 0.95
7977.300 0.95
7980.400 0.95
7983.600 0.95
7986.800 0.95
7990.000 0.95
7993.200 0.95
7996.300 0.95
7999.500 0.95
8002.700 0.95
8005.900 0.95
8009.100 0.95
8012.200 0.95
8015.400 0.95
8018.600 0.95
8021.800 0.95
8025.000 0.95
8028.100 0.95
8031.300 0.95
8034.500 0.95
8037.700 0.95
8040.800 0.95
8044.000 0.95
8047.200 0.95
8050.400 0.95
8053.500 0.95
8056.700 0.95
8059.900 0.95
8063.100 0.95
8066.200 0.95
8069.400 0.95
8072.600 0.95
8075.700 0.95
8078.900 0.95
8082.100 0.95
8085.200 0.95
8088.400 0.95
8091.600 0.95
8094.800 0.95
8097.900 0.95
8101.100 0.95
8104.300 0.95
8107.400 0.95
8110.600 0.95
8113.700 0.95
8116.900 0.95
8120.100 0.95
8123.200 0.95
8126.400 0.95
8129.600 0.95
8132.700 0.95
8135.900 0.95
8139.100 0.95
8142.200 0.95
8145.400 0.95
8148.500 0.95
8151.700 0.95
8154.900 0.95
8158.000 0.95
8161.200 0.95
8164.300 0.95
8167.500 0.95
8170.600 0.95
8173.800 0.95
8177.000 0.95
8180.100 0.95
8183.300 0.95
8186.400 0.95
8189.600 0.95
8192.700 0.95
8195.900 0.95
8199.000 0.95
8202.200 0.95
8205.400 0.95
8208.500 0.95
8211.700 0.95
8214.800 0.95
8218.000 0.95
8221.100 0.95
8224.300 0.95
8227.400 0.95
8230.600 0.95
8233.700 0.95
8236.900 0.95
8240.000 0.95
8243.200 0.95
8246.300 0.95
8249.400 0.95
8252.600 0.95
8255.700 0.95
8258.900 0.95
8262.000 0.95
8265.200 0.95
8268.300 0.95
8271.500 0.95
8274.600 0.95
8277.700 0.95
8280.900 0.95
8284.000 0.95
8287.200 0.95
8290.300 0.95
8293.500 0.95
8296.600 0.95
8299.700 0.95
8302.900 0.95
8306.000 0.95
8309.100 0.95
8312.300 0.95
8315.400 0.95
8318.600 0.95
8321.700 0.95
8324.800 0.95
8328.000 0.95
8331.100 0.95
8334.200 0.95
8337.400 0.95
8340.500 0.95
8343.600 0.95
8346.800 0.95
8349.900 0.95
8353.000 0.95
8356.200 0.95
8359.300 0.95
8362.400 0.95
8365.600 0.95
8368.700 0.95
8371.800 0.96
8374.900 0.96
8378.100 0.96
8381.200 0.96
8384.300 0.96
8387.500 0.96
8390.600 0.96
8393.700 0.96
8396.800 0.95
8400.000 0.95
8403.100 0.95
8406.200 0.95
8409.300 0.95
8412.500 0.95
8415.600 0.95
8418.700 0.94
8421.800 0.94
8425.000 0.93
8428.100 0.92
8431.200 0.91
8434.300 0.90
8437.400 0.89
8440.600 0.88
8443.700 0.86
8446.800 0.84
8449.900 0.82
8453.000 0.80
8456.200 0.77
8459.300 0.75
8462.400 0.72
8465.500 0.69
8468.600 0.66
8471.700 0.63
8474.900 0.60
8478.000 0.56
8481.100 0.53
8484.200 0.50
8487.300 0.46
8490.400 0.43
8493.500 0.40
8496.600 0.37
8499.800 0.34
8502.900 0.31
8506.000 0.29
8509.100 0.26
8512.200 0.24
8515.300 0.22
8518.400 0.20
8521.500 0.18
8524.600 0.17
8527.700 0.15
8530.900 0.14
8534.000 0.13
8537.100 0.11
8540.200 0.10
8543.300 0.09
8546.400 0.09
8549.500 0.08
8552.600 0.07
8555.700 0.07
8558.800 0.06
8561.900 0.05
8565.000 0.05
8568.100 0.04
8571.200 0.04
8574.300 0.04
8577.400 0.03
8580.500 0.03
8583.600 0.03
8586.700 0.03
8589.800 0.02
8592.900 0.02
8596.000 0.02
8599.100 0.02
8602.200 0.02
8605.300 0.01
8608.400 0.01
8611.500 0.01
8614.600 0.01
8617.700 0.01
8620.800 0.01
8623.900 0.01
8627.000 0.01
8630.100 0.01
8633.200 0.01
8636.200 0.01
8639.300 0.00
8642.400 0.00
8645.500 0.00
8648.600 0.00
8651.700 0.00
8654.800 0.00
8657.900 0.00
8661.000 0.00
8664.100 0.00
8667.100 0.00
8670.200 0.00
8673.300 0.00
8676.400 0.00
8679.500 0.00
8682.600 0.00
8685.700 0.00
8688.800 0.00
8691.800 0.00
8694.900 0.00
8698.000 0.00
8701.100 0.00
8704.200 0.00
8707.300 0.00
8710.300 0.00
8713.400 0.00
