668.57	0.011
668.91	0.017
669.24	0.019
669.58	0.018
669.91	0.006
670.25	0.032
670.59	0.042
670.92	0.067
671.26	0.076
671.59	0.110
671.93	0.133
672.26	0.165
672.60	0.192
672.93	0.268
673.27	0.322
673.60	0.374
673.94	0.408
674.27	0.439
674.61	0.441
674.94	0.501
675.28	0.550
675.61	0.644
675.94	0.724
676.28	0.817
676.61	0.903
676.95	1.018
677.28	1.148
677.62	1.322
677.95	1.483
678.29	1.689
678.62	1.881
678.95	2.101
679.29	2.295
679.62	2.569
679.96	2.812
680.29	3.109
680.62	3.401
680.96	3.762
681.29	4.114
681.63	4.514
681.96	4.936
682.29	5.388
682.63	5.866
682.96	6.390
683.30	6.910
683.63	7.485
683.96	8.089
684.30	8.721
684.63	9.393
684.96	10.105
685.30	10.835
685.63	11.626
685.96	12.416
686.30	13.201
686.63	14.054
686.96	14.936
687.30	15.857
687.63	16.806
687.96	17.798
688.30	18.799
688.63	19.814
688.96	20.828
689.29	21.901
689.63	23.028
689.96	24.128
690.29	25.297
690.62	26.492
690.96	27.707
691.29	28.888
691.62	30.170
691.96	31.378
692.29	32.601
692.62	33.799
692.95	34.965
693.29	36.132
693.62	37.392
693.95	38.559
694.28	39.787
694.61	41.032
694.95	42.269
695.28	43.343
695.61	44.568
695.94	45.691
696.27	46.796
696.61	47.922
696.94	49.096
697.27	50.171
697.60	51.214
697.93	52.286
698.27	53.377
698.60	54.444
698.93	55.483
699.26	56.463
699.59	57.404
699.92	58.269
700.25	59.179
700.59	60.072
700.92	60.991
701.25	61.873
701.58	62.728
701.91	63.507
702.24	64.335
702.57	65.126
702.90	65.952
703.24	66.717
703.57	67.469
703.90	68.148
704.23	68.782
704.56	69.375
704.89	69.972
705.22	70.617
705.55	71.244
705.88	71.935
706.21	72.573
706.54	73.160
706.87	73.718
707.20	74.316
707.54	74.862
707.87	75.358
708.20	75.885
708.53	76.414
708.86	76.870
709.19	77.302
709.52	77.814
709.85	78.255
710.18	78.680
710.51	79.136
710.84	79.566
711.17	80.028
711.50	80.515
711.83	80.929
712.16	81.315
712.49	81.700
712.82	82.025
713.15	82.342
713.48	82.698
713.81	82.982
714.14	83.327
714.47	83.560
714.80	83.883
715.12	84.161
715.45	84.495
715.78	84.738
716.11	85.106
716.44	85.369
716.77	85.649
717.10	85.834
717.43	86.100
717.76	86.286
718.09	86.445
718.42	86.649
718.75	86.827
719.08	87.031
719.40	87.178
719.73	87.479
720.06	87.600
720.39	87.706
720.72	87.826
721.05	88.015
721.38	87.993
721.71	88.151
722.03	88.418
722.36	88.587
722.69	88.795
723.02	88.993
723.35	89.135
723.68	89.221
724.00	89.222
724.33	89.295
724.66	89.475
724.99	89.533
725.32	89.708
725.65	89.868
725.97	89.932
726.30	90.022
726.63	90.160
726.96	90.192
727.29	90.318
727.61	90.363
727.94	90.377
728.27	90.495
728.60	90.598
728.92	90.682
729.25	90.868
729.58	91.029
729.91	91.083
730.23	91.221
730.56	91.327
730.89	91.333
